"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2023","678.12","675.00","678.40","672.38","","0.09%"
"04/18/2023","677.50","676.00","682.50","669.75","130.89K","0.15%"
"04/17/2023","676.50","666.00","677.00","662.25","146.90K","1.54%"
"04/14/2023","666.25","653.75","668.00","651.00","154.00K","2.15%"
"04/13/2023","652.25","656.00","661.75","651.50","147.15K","-0.57%"
"04/12/2023","656.00","651.00","658.50","648.75","150.11K","0.77%"
"04/11/2023","651.00","653.50","657.75","646.75","200.26K","-0.46%"
"04/10/2023","654.00","644.50","655.00","640.25","150.10K","1.63%"
"04/07/2023","643.50","643.50","643.50","643.50","","0.00%"
"04/06/2023","643.50","652.25","652.50","641.75","132.98K","-1.42%"
"04/05/2023","652.75","653.75","660.00","646.50","143.56K","-0.15%"
"04/04/2023","653.75","657.00","657.50","648.50","140.10K","-0.61%"
"04/03/2023","657.75","659.50","668.50","656.00","153.87K","-0.42%"
"03/31/2023","660.50","648.75","664.50","647.25","201.89K","1.69%"
"03/30/2023","649.50","649.75","654.75","648.00","119.49K","-0.15%"
"03/29/2023","650.50","646.25","655.50","645.75","156.69K","0.50%"
"03/28/2023","647.25","646.75","651.25","644.50","135.24K","-0.15%"
"03/27/2023","648.25","643.00","648.75","637.00","145.57K","0.82%"
"03/24/2023","643.00","631.00","645.00","627.50","191.26K","1.78%"
"03/23/2023","631.75","633.00","644.00","627.25","186.44K","-0.28%"
"03/22/2023","633.50","631.25","636.00","623.25","154.75K","0.56%"
"03/21/2023","630.00","632.75","638.25","628.75","133.31K","-0.47%"
"03/20/2023","633.00","633.00","634.00","625.00","115.79K","-0.20%"
